canonical,CDK1,CDK2,compound_id,connectivity,validation_group,partition,delta_p,delta_lower_bound,ratio,ratio_lower_bound
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,6.036212172654444,7.920818753952375,HC-3833d651febfd8644c4e9b34,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,train,1.8846065812979305,,76.66666666666667,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O)ncc2C12CC2,5.235077015350112,6.91721462968355,HC-66a1ca61302e3d64e8ec01b6,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3O)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O)ncc2C12CC2,train,1.6821376143334383,,48.099173553719,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3(CF)CC3)ncc2C12CC2,5.767003889607846,7.568636235841012,HC-330442967ef2f2bee396839a,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OC3(CF)CC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3(CF)CC3)ncc2C12CC2,development,1.8016323462331663,,63.33333333333329,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CC(F)(F)C3)ncc2C12CC2,5.4156687756324695,7.585026652029182,HC-31dd71ce348836502f42e113,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OC3CC(F)(F)C3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CC(F)(F)C3)ncc2C12CC2,train,2.1693578763967123,,147.6923076923075,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CCC3)ncc2C12CC2,5.539102157243452,7.585026652029182,HC-50f30cf983b46f1625a11fe5,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OC3CCC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CCC3)ncc2C12CC2,train,2.04592449478573,,111.15384615384619,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CCOCC3)ncc2C12CC2,,6.5934598195660445,HC-6ed48c1d15c50be7cd6cf34d,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OC3CCOCC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CCOCC3)ncc2C12CC2,train,,1.5934598195660445,,39.21568627450978
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CN(CC(F)(F)F)C3)ncc2C12CC2,,6.962573502059376,HC-ebfb3b8b9aea5d5941934588,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OC3CN(CC(F)(F)F)C3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CN(CC(F)(F)F)C3)ncc2C12CC2,train,,1.9625735020593762,,91.743119266055
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)(F)F)ncc2C12CC2,6.096910013008056,8.0,HC-f09d8bf1beda158f1bd5b8f5,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC(F)(F)F)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)(F)F)ncc2C12CC2,train,1.9030899869919438,,80.00000000000003,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)F)ncc2C12CC2,6.136677139879544,8.301029995663981,HC-5126418e5255ba63322fe094,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC(F)F)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)F)ncc2C12CC2,train,2.164352855784437,,146.00000000000003,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3(F)CC3)ncc2C12CC2,6.113509274827518,7.958607314841775,HC-d67d3ab2b0b3d15381422ef8,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3OCC3(F)CC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3(F)CC3)ncc2C12CC2,train,1.845098040014257,,70.00000000000001,
